,day,from_count,month,year
0,1,230298,1,2023
1,2,279172,1,2023
2,3,290073,1,2023
3,4,336533,1,2023
4,5,459017,1,2023
5,6,325133,1,2023
6,7,329701,1,2023
7,8,586168,1,2023
8,9,378801,1,2023
9,10,346970,1,2023
10,11,356870,1,2023
11,12,364264,1,2023
12,13,344367,1,2023
13,14,372553,1,2023
14,15,323998,1,2023
15,16,353803,1,2023
16,17,339361,1,2023
17,18,403309,1,2023
18,19,325320,1,2023
19,20,335575,1,2023
20,21,333533,1,2023
21,22,289996,1,2023
22,23,303621,1,2023
23,24,320353,1,2023
24,25,324097,1,2023
25,26,340969,1,2023
26,27,372419,1,2023
27,28,313315,1,2023
28,29,321690,1,2023
29,30,361954,1,2023
30,31,365155,1,2023
31,1,349387,2,2023
32,2,360948,2,2023
33,3,335730,2,2023
34,4,344255,2,2023
35,5,357129,2,2023
36,6,336455,2,2023
37,7,352477,2,2023
38,8,352988,2,2023
39,9,331694,2,2023
40,10,343022,2,2023
41,11,315142,2,2023
42,12,311007,2,2023
43,13,351835,2,2023
44,14,385663,2,2023
45,15,372491,2,2023
46,16,362776,2,2023
47,17,342285,2,2023
48,18,320481,2,2023
49,19,311231,2,2023
50,20,336293,2,2023
51,21,359995,2,2023
52,22,357668,2,2023
53,23,395454,2,2023
54,24,412261,2,2023
55,25,375559,2,2023
56,26,375107,2,2023
57,27,373782,2,2023
58,28,340813,2,2023
59,1,354039,3,2023
60,2,382609,3,2023
61,3,364827,3,2023
62,4,317789,3,2023
63,5,301250,3,2023
64,6,331703,3,2023
65,7,329455,3,2023
66,8,324265,3,2023
67,9,345694,3,2023
68,10,343510,3,2023
69,11,307256,3,2023
70,12,327065,3,2023
71,13,457657,3,2023
72,14,382701,3,2023
73,15,378650,3,2023
74,16,344973,3,2023
75,17,373616,3,2023
76,18,355649,3,2023
77,19,331517,3,2023
78,20,395330,3,2023
79,21,377178,3,2023
80,22,374528,3,2023
81,23,376249,3,2023
82,24,363886,3,2023
83,25,356372,3,2023
84,26,334049,3,2023
85,27,355626,3,2023
86,28,412753,3,2023
87,29,428914,3,2023
88,30,434080,3,2023
89,31,408906,3,2023
90,1,357749,4,2023
91,2,332740,4,2023
92,3,347657,4,2023
93,4,362970,4,2023
94,5,392243,4,2023
95,6,352522,4,2023
96,7,376349,4,2023
97,8,317415,4,2023
98,9,311306,4,2023
99,10,371191,4,2023
100,11,391124,4,2023
101,12,364959,4,2023
102,13,434869,4,2023
103,14,456897,4,2023
104,15,448021,4,2023
105,16,304876,4,2023
106,17,306009,4,2023
107,18,305843,4,2023
108,19,285565,4,2023
109,20,304266,4,2023
110,21,325145,4,2023
111,22,261859,4,2023
112,23,246277,4,2023
113,24,278737,4,2023
114,25,311735,4,2023
115,26,306876,4,2023
116,27,307533,4,2023
117,28,314746,4,2023
118,29,288651,4,2023
119,30,287875,4,2023
120,1,290728,5,2023
121,2,304360,5,2023
122,3,331456,5,2023
123,4,315241,5,2023
124,5,344748,5,2023
125,6,294362,5,2023
126,7,282939,5,2023
127,8,320679,5,2023
128,9,325600,5,2023
129,10,304990,5,2023
130,11,296613,5,2023
131,12,329653,5,2023
132,13,337490,5,2023
133,14,342273,5,2023
134,15,344355,5,2023
135,16,323883,5,2023
136,17,323727,5,2023
137,18,310527,5,2023
138,19,334686,5,2023
139,20,395706,5,2023
140,21,354137,5,2023
141,22,324398,5,2023
142,23,332330,5,2023
143,24,326575,5,2023
144,25,336106,5,2023
145,26,342178,5,2023
146,27,339008,5,2023
147,28,298696,5,2023
148,29,334292,5,2023
149,30,382384,5,2023
150,31,366717,5,2023
151,1,322546,6,2023
152,2,397013,6,2023
153,3,350117,6,2023
154,4,325499,6,2023
155,5,406108,6,2023
156,6,361565,6,2023
157,7,365953,6,2023
158,8,321680,6,2023
159,9,337893,6,2023
160,10,432081,6,2023
161,11,474701,6,2023
162,12,338344,6,2023
163,13,324892,6,2023
164,14,366592,6,2023
165,15,412743,6,2023
166,16,409348,6,2023
167,17,365384,6,2023
168,18,361430,6,2023
169,19,372540,6,2023
170,20,329288,6,2023
171,21,370671,6,2023
172,22,342411,6,2023
173,23,371003,6,2023
174,24,314992,6,2023
175,25,296000,6,2023
176,26,327855,6,2023
177,27,333033,6,2023
178,28,352267,6,2023
179,29,306582,6,2023
180,30,375508,6,2023
181,1,325022,7,2023
182,2,285850,7,2023
183,3,328326,7,2023
184,4,293260,7,2023
185,5,228025,7,2023
186,6,258511,7,2023
187,7,286217,7,2023
188,8,293775,7,2023
189,9,284888,7,2023
190,10,350112,7,2023
191,11,357844,7,2023
192,12,315937,7,2023
193,13,334234,7,2023
194,14,372821,7,2023
195,15,309427,7,2023
196,16,276799,7,2023
197,17,290739,7,2023
198,18,373019,7,2023
199,19,342678,7,2023
200,20,302076,7,2023
201,21,329263,7,2023
202,22,301105,7,2023
203,23,293656,7,2023
204,24,300940,7,2023
205,25,279847,7,2023
206,26,303944,7,2023
207,27,292404,7,2023
208,28,306337,7,2023
209,29,300056,7,2023
210,30,316034,7,2023
211,31,365520,7,2023
212,1,309031,8,2023
213,2,313841,8,2023
214,3,332741,8,2023
215,4,356902,8,2023
216,5,304083,8,2023
217,6,290021,8,2023
218,7,301151,8,2023
219,8,313598,8,2023
220,9,362318,8,2023
221,10,318212,8,2023
222,11,338179,8,2023
223,12,301491,8,2023
224,13,288818,8,2023
225,14,319791,8,2023
